currencyinfo,timeinfo,insertime
US Dollar1 USD = 68.6195 INR,2018-07-03 08:48 UTC,2018-07-03 14:18:25
US Dollar1 USD = 68.6248 INR,2018-07-03 08:58 UTC,2018-07-03 14:28:27
US Dollar1 USD = 68.6434 INR,2018-07-03 09:08 UTC,2018-07-03 14:38:29
US Dollar1 USD = 68.6248 INR,2018-07-03 09:18 UTC,2018-07-03 14:48:31
US Dollar1 USD = 68.6128 INR,2018-07-03 09:27 UTC,2018-07-03 14:58:33
US Dollar1 USD = 68.6287 INR,2018-07-03 09:38 UTC,2018-07-03 15:08:35
US Dollar1 USD = 68.6409 INR,2018-07-03 09:48 UTC,2018-07-03 15:18:37
US Dollar1 USD = 68.6282 INR,2018-07-03 09:58 UTC,2018-07-03 15:28:41
US Dollar1 USD = 68.6329 INR,2018-07-03 10:08 UTC,2018-07-03 15:38:43
US Dollar1 USD = 68.6521 INR,2018-07-03 10:18 UTC,2018-07-03 15:48:45
US Dollar1 USD = 68.6562 INR,2018-07-03 10:27 UTC,2018-07-03 15:58:46
US Dollar1 USD = 68.6576 INR,2018-07-03 10:37 UTC,2018-07-03 16:08:49
US Dollar1 USD = 68.5990 INR,2018-07-03 11:05 UTC,2018-07-03 16:35:50
US Dollar1 USD = 68.5939 INR,2018-07-03 11:14 UTC,2018-07-03 16:45:52
US Dollar1 USD = 68.5819 INR,2018-07-03 11:25 UTC,2018-07-03 16:55:54
US Dollar1 USD = 68.5755 INR,2018-07-03 11:35 UTC,2018-07-03 17:05:56
US Dollar1 USD = 68.5575 INR,2018-07-03 11:45 UTC,2018-07-03 17:15:58
